matchup,subject,knowledge_level,own,confidence,meta,actual
LAC @ ATL,14,1,0,1,0.75,1
LAC @ ATL,15,3,1,0.7,0.65,1
LAC @ ATL,16,1,0,1,1,1
LAC @ ATL,17,3,0,0.7,0.7,1
LAC @ ATL,18,4,0,1,1,1
LAC @ ATL,19,3,0,0.9,0.8,1
LAC @ ATL,20,4,0,0.8,0.85,1
LAC @ ATL,21,3,0,0.9,0.9,1
LAC @ ATL,22,1,0,1,1,1
LAC @ ATL,23,3,0,0.6,0.6,1
LAC @ ATL,24,3,0,1,1,1
LAC @ ATL,25,5,0,0.75,0.8,1
MIN @ CHI,1,2,0,0.4,0.6,1
MIN @ CHI,2,4,0,0.4,0.25,1
MIN @ CHI,3,4,1,0.6,0.7,1
MIN @ CHI,4,1,0,0.5,0.5,1
MIN @ CHI,5,2,0,0.2,0.6,1
MIN @ CHI,6,5,1,0.7,0.5,1
MIN @ CHI,7,3,1,0.8,0.5,1
MIN @ CHI,8,2,1,0.85,0.7,1
MIN @ CHI,9,2,1,0.8,0.8,1
MIN @ CHI,10,3,0,0.89,0.6,1
MIN @ CHI,11,3,0,0.55,0.5,1
MIN @ CHI,12,3,0,0.7,0.7,1
MIN @ CHI,13,3,0,0.6,0.6,1
MIN @ CHI,14,1,1,0.9,0.8,1
MIN @ CHI,15,3,1,1,1,1
MIN @ CHI,16,1,0,0.7,0.65,1
MIN @ CHI,17,3,1,0.7,0.7,1
MIN @ CHI,18,4,0,0.9,0.7,1
MIN @ CHI,19,3,1,0.6,0.5,1
MIN @ CHI,20,4,1,0.6,0.65,1
MIN @ CHI,21,3,1,0.5,0.5,1
MIN @ CHI,22,1,1,0.35,0.5,1
MIN @ CHI,23,3,0,0.8,0.8,1
MIN @ CHI,24,3,1,0.5,0.5,1
MIN @ CHI,25,5,1,0.4,0.4,1
DEN @ HOU,1,2,1,0.6,0.6,1
DEN @ HOU,2,4,1,0.6,0.55,1
DEN @ HOU,3,4,1,0.9,0.9,1
DEN @ HOU,4,1,0,0.5,0.5,1
DEN @ HOU,5,2,1,0.7,0.5,1
DEN @ HOU,6,5,0,0.8,0.6,1
DEN @ HOU,7,3,1,1,1,1
DEN @ HOU,8,2,1,0.75,0.7,1
DEN @ HOU,9,2,1,0.7,0.7,1
DEN @ HOU,10,3,0,0.8,0.6,1
DEN @ HOU,11,3,1,0.5,0.5,1
DEN @ HOU,12,3,0,0.7,0.6,1
DEN @ HOU,13,3,1,0.7,0.6,1
DEN @ HOU,14,1,0,0.6,0.5,1
DEN @ HOU,15,3,0,0.8,0.8,1
DEN @ HOU,16,1,1,0.85,0.8,1
DEN @ HOU,17,3,1,0.7,0.7,1
DEN @ HOU,18,4,1,0.8,0.6,1
DEN @ HOU,19,3,1,0.5,0.5,1
DEN @ HOU,20,4,0,0.6,0.35,1
DEN @ HOU,21,3,0,0.75,0.3,1
DEN @ HOU,22,1,1,0.45,0.6,1
DEN @ HOU,23,3,1,0.6,0.7,1
DEN @ HOU,24,3,0,0.5,0.5,1
DEN @ HOU,25,5,0,0.6,0.3,1
IND @ PHX,1,2,0,0.25,0.4,0
IND @ PHX,2,4,0,0.69,0.55,0
IND @ PHX,3,4,0,0.5,0.5,0
IND @ PHX,4,1,1,0.5,0.5,0
IND @ PHX,5,2,1,0.5,0.3,0
IND @ PHX,6,5,1,0.7,0.5,0
IND @ PHX,7,3,1,0.2,0.5,0
IND @ PHX,8,2,0,0.6,0.6,0
IND @ PHX,9,2,0,0.5,0.5,0
IND @ PHX,10,3,0,0.8,0.6,0
IND @ PHX,11,3,0,0.6,0.6,0
IND @ PHX,12,3,0,0.6,0.6,0
IND @ PHX,13,3,0,0.7,0.7,0
IND @ PHX,14,1,1,0.68,0.48,0
IND @ PHX,15,3,0,0.8,0.8,0
IND @ PHX,16,1,0,0.7,0.6,0
IND @ PHX,17,3,0,0.7,0.7,0
IND @ PHX,18,4,0,0.8,0.8,0
IND @ PHX,19,3,0,0.6,0.59,0
IND @ PHX,20,4,0,0.7,0.65,0
IND @ PHX,21,3,0,0.6,0.4,0
IND @ PHX,22,1,0,0.5,0.65,0
IND @ PHX,23,3,0,0.9,0.9,0
IND @ PHX,24,3,0,0.5,0.5,0
IND @ PHX,25,5,0,0.1,0.4,0
SAS @ NOP,1,2,0,0.7,0.6,0
SAS @ NOP,2,4,0,0.7,0.5,0
SAS @ NOP,3,4,0,0.9,0.95,0
SAS @ NOP,4,1,0,0.5,0.5,0
SAS @ NOP,5,2,0,0.4,0.55,0
SAS @ NOP,6,5,1,0.6,0.5,0
SAS @ NOP,7,3,1,0.6,0.5,0
SAS @ NOP,8,2,0,0.79,0.7,0
SAS @ NOP,9,2,0,0.6,0.6,0
SAS @ NOP,10,3,0,0.1,1,0
SAS @ NOP,11,3,0,0.55,0.55,0
SAS @ NOP,12,3,0,0.8,0.7,0
SAS @ NOP,13,3,0,0.8,0.75,0
SAS @ NOP,14,1,1,0.5,0.5,0
SAS @ NOP,15,3,0,0.7,0.65,0
SAS @ NOP,16,1,1,0.6,0.4,0
SAS @ NOP,17,3,0,0.7,0.7,0
SAS @ NOP,18,4,0,0.8,0.8,0
SAS @ NOP,19,3,0,0.7,0.6,0
SAS @ NOP,20,4,0,0.75,0.65,0
SAS @ NOP,21,3,0,0.75,0.6,0
SAS @ NOP,22,1,0,0.5,0.5,0
SAS @ NOP,23,3,0,0.8,0.8,0
SAS @ NOP,24,3,0,0.7,0.7,0
SAS @ NOP,25,5,1,0.8,0.85,0
UTA @ GSW,1,2,1,0.9,0.95,0
